sample_id,target,status,target_family,k,original_score,top_k_features,top_k_removal_effect,random_removal_effect_mean,random_removal_effect_std,top_minus_random,top_effect_exceeds_random,method
LOCAC_27,loca_severity,accepted,primary_coolant_boundary_break,5,18.39770370370369,"[""THA__std"", ""RHMT__std"", ""QMWT__std"", ""QMGB__slope"", ""TCA__std""]",1.7867777777777683,-0.22416666666667168,0.7486371423793111,2.0109444444444398,True,reference replacement in frozen severity model input space
LOCAC_3,family_score,requires_review,primary_coolant_boundary_break,5,0.9951243605683667,"[""WSTA__std"", ""LSGA__last"", ""P__last"", ""TAVG__last"", ""QMWT__std""]",0.793099251613571,0.00011796416553495614,0.00019402563941254774,0.792981287448036,True,reference replacement in frozen model input space
LOCAC_31,family_score,accepted,primary_coolant_boundary_break,5,0.9987922096592504,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""NSGB__last""]",0.39210612088142993,0.03679282486272335,0.07351982772676029,0.3553132960187066,True,reference replacement in frozen model input space
LOCAC_31,loca_severity,accepted,primary_coolant_boundary_break,5,19.77206878306878,"[""THA__std"", ""QMGB__slope"", ""RHMT__std"", ""QMWT__std"", ""TCA__std""]",1.8484444444444499,-0.20056560846560742,0.39943365010254633,2.0490100529100572,True,reference replacement in frozen severity model input space
LOCAC_33,family_score,accepted,primary_coolant_boundary_break,5,0.9881660792176356,"[""WSTA__std"", ""QMGB__slope"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last""]",0.5538349470808028,0.003228990369742801,0.005900721170606988,0.55060595671106,True,reference replacement in frozen model input space
LOCAC_33,loca_severity,accepted,primary_coolant_boundary_break,5,19.861791005291,"[""THA__std"", ""PWNT__std"", ""QMGB__slope"", ""RHMT__std"", ""QMWT__std""]",1.9419444444444451,-0.34783333333333244,0.2980367632016267,2.2897777777777777,True,reference replacement in frozen severity model input space
LOCAC_39,family_score,accepted,primary_coolant_boundary_break,5,0.9987922096592504,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""NSGB__last""]",0.39210612088142993,0.0,0.0,0.39210612088142993,True,reference replacement in frozen model input space
LOCAC_39,loca_severity,accepted,primary_coolant_boundary_break,5,19.863346560846555,"[""THA__std"", ""PWNT__std"", ""QMGB__slope"", ""RHMT__std"", ""QMWT__std""]",1.9419444444444487,-0.5048261904761894,0.4541291975528996,2.446770634920638,True,reference replacement in frozen severity model input space
LOCAC_53,family_score,accepted,primary_coolant_boundary_break,5,0.9881660792176356,"[""WSTA__std"", ""QMGB__slope"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last""]",0.5538349470808028,0.00039896664617993237,0.0007979332923598647,0.5534359804346229,True,reference replacement in frozen model input space
LOCAC_53,loca_severity,accepted,primary_coolant_boundary_break,5,19.97902116402116,"[""THA__std"", ""QMGB__slope"", ""PWNT__std"", ""RHMT__std"", ""QMWT__std""]",1.8811111111111174,-0.6662544973544975,0.33283717348670483,2.547365608465615,True,reference replacement in frozen severity model input space
LOCAC_54,family_score,accepted,primary_coolant_boundary_break,5,0.9811389273815992,"[""WSTA__std"", ""QMGB__slope"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.5844123611877136,0.002214160354420258,0.0031022707992788903,0.5821982008332933,True,reference replacement in frozen model input space
LOCAC_54,loca_severity,accepted,primary_coolant_boundary_break,5,19.97902116402116,"[""THA__std"", ""QMGB__slope"", ""PWNT__std"", ""RHMT__std"", ""QMWT__std""]",1.8811111111111174,-0.36693412698412475,0.47438567921894825,2.248045238095242,True,reference replacement in frozen severity model input space
LOCAC_67,family_score,requires_review,primary_coolant_boundary_break,5,0.9989080451365316,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.4302822174590807,1.3016792304987313e-05,2.6033584609974626e-05,0.4302692006667757,True,reference replacement in frozen model input space
LOCAC_71,family_score,requires_review,primary_coolant_boundary_break,5,0.9988176900664669,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.43019186238901597,0.0,0.0,0.43019186238901597,True,reference replacement in frozen model input space
LOCAC_77,family_score,requires_review,primary_coolant_boundary_break,5,0.9986087058181911,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""WSTA__mean"", ""PSGA__slope""]",0.36957661774135964,0.0,0.0,0.36957661774135964,True,reference replacement in frozen model input space
LOCAC_9,family_score,requires_review,primary_coolant_boundary_break,5,0.9985164842059817,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""QMWT__std""]",0.6432034392307382,2.149215653912684e-06,4.298431307825368e-06,0.6432012900150843,True,reference replacement in frozen model input space
LOCA_16,family_score,accepted,primary_coolant_boundary_break,5,0.9989155150779903,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.65180426779608,9.527517154712672e-05,0.00018592898832954383,0.6517089926245329,True,reference replacement in frozen model input space
LOCA_16,loca_severity,accepted,primary_coolant_boundary_break,5,15.947431216931214,"[""RH__mean"", ""RH__delta_t0"", ""QMGB__slope"", ""TCB__std"", ""LSGA__mean""]",-1.6915820105820103,-0.3061126984127,0.17589926816846702,-1.3854693121693102,False,reference replacement in frozen severity model input space
LOCA_19,family_score,accepted,primary_coolant_boundary_break,5,0.9990822629301883,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.621911261310388,2.835795995230761e-05,6.324521147604178e-05,0.6218829033504357,True,reference replacement in frozen model input space
LOCA_19,loca_severity,accepted,primary_coolant_boundary_break,5,18.86970767195767,"[""LSGA__mean"", ""RH__delta_t0"", ""QMGB__slope"", ""TCA__mean"", ""PSGB__last""]",-1.2911984126984137,-0.2603023809523819,0.10261738824870946,-1.0308960317460318,False,reference replacement in frozen severity model input space
LOCA_23,family_score,accepted,primary_coolant_boundary_break,5,0.9990822629301883,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.621911261310388,1.8631585119166516e-06,3.7263170238333028e-06,0.6219093981518761,True,reference replacement in frozen model input space
LOCA_23,loca_severity,accepted,primary_coolant_boundary_break,5,23.67686375661374,"[""LSGA__mean"", ""NSGA__std"", ""NSGB__std"", ""RH__mean"", ""PWNT__mean""]",-0.8717936507936521,-0.15474973544973664,0.11779833166583759,-0.7170439153439154,False,reference replacement in frozen severity model input space
LOCA_40,family_score,accepted,primary_coolant_boundary_break,5,0.9990453896988335,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.62893255012796,6.941385751526585e-05,0.00010537746938397379,0.6288631362704448,True,reference replacement in frozen model input space
LOCA_40,loca_severity,accepted,primary_coolant_boundary_break,5,38.15948677248676,"[""LSGA__delta_t0"", ""QMGA__slope"", ""PSGB__delta_t0"", ""RHMT__slope"", ""THB__slope""]",0.7323730158730086,0.15528888888889014,0.05268899432952606,0.5770841269841185,True,reference replacement in frozen severity model input space
LOCA_41,family_score,accepted,primary_coolant_boundary_break,5,0.9990453896988335,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.62893255012796,-4.380346554389014e-06,8.760693108778028e-06,0.6289369304745144,True,reference replacement in frozen model input space
LOCA_41,loca_severity,accepted,primary_coolant_boundary_break,5,38.46813756613755,"[""LSGA__delta_t0"", ""RH__last"", ""QMGA__slope"", ""PSGB__delta_t0"", ""THB__delta_t0""]",0.7945952380952264,0.16815793650793295,0.058082209832419504,0.6264373015872934,True,reference replacement in frozen severity model input space
LOCA_42,family_score,accepted,primary_coolant_boundary_break,5,0.9990453896988335,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.62893255012796,5.4396991304628274e-05,0.00010879398260925655,0.6288781531366554,True,reference replacement in frozen model input space
LOCA_42,loca_severity,accepted,primary_coolant_boundary_break,5,42.75207407407406,"[""LSGA__delta_t0"", ""THA__last"", ""QMWT__std"", ""TFPK__delta_t0"", ""RH__last""]",1.1422380952381062,0.31109285714285306,0.10608563867784437,0.8311452380952531,True,reference replacement in frozen severity model input space
LOCA_46,family_score,accepted,primary_coolant_boundary_break,5,0.9990453896988335,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.62893255012796,0.00010879398260925655,0.00013324487223895267,0.6288237561453508,True,reference replacement in frozen model input space
LOCA_46,loca_severity,accepted,primary_coolant_boundary_break,5,47.5742791005291,"[""LSGA__delta_t0"", ""TFPK__delta_t0"", ""RHMT__std"", ""NSGA__slope"", ""RHFL__mean""]",1.3358650793650853,0.3089333333333329,0.14776140845011224,1.0269317460317524,True,reference replacement in frozen severity model input space
LOCA_48,family_score,accepted,primary_coolant_boundary_break,5,0.9990453896988335,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""WSTA__mean""]",0.62893255012796,0.0,0.0,0.62893255012796,True,reference replacement in frozen model input space
LOCA_48,loca_severity,accepted,primary_coolant_boundary_break,5,48.21423148148148,"[""LSGA__delta_t0"", ""NSGA__slope"", ""TFPK__delta_t0"", ""RHMT__std"", ""PWR__std""]",1.3968650793650852,0.3829216931216948,0.10027056018620592,1.0139433862433904,True,reference replacement in frozen severity model input space
LOCA_5,family_score,requires_review,primary_coolant_boundary_break,5,0.9988407956965423,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""TAVG__last"", ""P__last""]",0.5853089441538665,0.0,0.0,0.5853089441538665,True,reference replacement in frozen model input space
LOCA_59,family_score,requires_review,primary_coolant_boundary_break,5,0.9981677463757876,"[""WSTA__std"", ""WSTB__last"", ""WSTA__mean"", ""QMGA__last"", ""LSGA__mean""]",0.6467409725001687,0.09710417274158005,0.19420834548316013,0.5496367997585887,True,reference replacement in frozen model input space
LOCA_69,family_score,requires_review,primary_coolant_boundary_break,5,0.998640117072589,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""WSTA__mean"", ""LSGA__mean""]",0.6455746907256555,3.5520893228269126e-05,7.104178645653825e-05,0.6455391698324273,True,reference replacement in frozen model input space
LOCA_70,family_score,requires_review,primary_coolant_boundary_break,5,0.9977456765734983,"[""WSTA__std"", ""WSTA__last"", ""WSTA__mean"", ""NSGA__slope"", ""LSGA__mean""]",0.6446802502265648,0.00018090954964955497,0.0003618190992991099,0.6444993406769153,True,reference replacement in frozen model input space
LOCA_73,family_score,requires_review,primary_coolant_boundary_break,5,0.9978347255105035,"[""WSTA__std"", ""WSTB__last"", ""WSTA__mean"", ""NSGA__last"", ""NSGA__slope""]",0.6495590135635958,-8.079652342307675e-06,1.615930468461535e-05,0.6495670932159381,True,reference replacement in frozen model input space
LOCA_75,family_score,requires_review,primary_coolant_boundary_break,5,0.9984862588998974,"[""WSTA__std"", ""WSTB__last"", ""WSTA__last"", ""WSTA__mean"", ""NSGA__last""]",0.6576809811563827,0.0,0.0,0.6576809811563827,True,reference replacement in frozen model input space
LOCA_77,family_score,requires_review,primary_coolant_boundary_break,5,0.9978347255105035,"[""WSTA__std"", ""WSTB__last"", ""WSTA__mean"", ""NSGA__last"", ""NSGA__slope""]",0.6495590135635958,-3.0930932828909796e-05,6.186186565781959e-05,0.6495899444964247,True,reference replacement in frozen model input space
LR_79,family_score,requires_review,turbine_and_load_transient,5,0.9937529199669575,"[""TAVG__last"", ""LSGB__mean"", ""LSGA__mean"", ""PSGA__std"", ""RH__last""]",0.6199831822824122,0.004474039449694977,0.005479556870417571,0.6155091428327173,True,reference replacement in frozen model input space
LR_80,family_score,requires_review,turbine_and_load_transient,5,0.9937529199669575,"[""TAVG__last"", ""LSGB__mean"", ""LSGA__mean"", ""PSGA__std"", ""RH__last""]",0.6199831822824122,0.00472354495752898,0.004652809292224855,0.6152596373248832,True,reference replacement in frozen model input space
LR_93,family_score,unknown,turbine_and_load_transient,5,0.9671153659463058,"[""LSGB__mean"", ""PSGA__std"", ""LSGA__mean"", ""TAVG__last"", ""RH__last""]",0.8063972556655801,0.010371468695316622,0.020742937390633244,0.7960257869702635,True,reference replacement in frozen model input space
