split_type,split_id,window_s,feature_group,analysis_scope,mechanism,target_coverage,validation_threshold,validation_coverage,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20261930,120,A_strict_38,main,distance,0.9,10.211388876929831,0.900990099009901,101,91,10,0.900990099009901,0.989010989010989,0.850480732833674,0.9935897435897436,0.01098901098901095,0.09900990099009899
random,seed_20261930,120,A_strict_38,main,distance,1.0,18533.153269508322,1.0,101,100,1,0.9900990099009901,0.98,0.8448714243499778,0.9888888888888889,0.020000000000000018,0.00990099009900991
random,seed_20262939,120,A_strict_38,main,probability,0.5,0.8925148637694514,0.6732673267326733,101,65,36,0.6435643564356436,1.0,0.42857142857142855,1.0,0.0,0.3564356435643564
random,seed_20262939,120,A_strict_38,main,probability,0.6,0.8925148637694514,0.6732673267326733,101,65,36,0.6435643564356436,1.0,0.42857142857142855,1.0,0.0,0.3564356435643564
random,seed_20262939,120,A_strict_38,main,probability,0.7,0.885205468273464,0.7326732673267327,101,74,27,0.7326732673267327,1.0,0.7142857142857143,1.0,0.0,0.26732673267326734
random,seed_20262939,120,A_strict_38,main,probability,0.8,0.8658776522719076,0.8217821782178217,101,82,19,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806
random,seed_20262939,120,A_strict_38,main,probability,0.9,0.8309249128770779,0.9108910891089109,101,88,13,0.8712871287128713,1.0,0.8571428571428571,1.0,0.0,0.12871287128712872
random,seed_20262939,120,A_strict_38,main,probability,1.0,0.452658456484154,1.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20262939,120,A_strict_38,main,margin,0.5,0.8351882242588194,0.6435643564356436,101,70,31,0.693069306930693,1.0,0.5714285714285714,1.0,0.0,0.306930693069307
random,seed_20262939,120,A_strict_38,main,margin,0.6,0.8351882242588194,0.6435643564356436,101,70,31,0.693069306930693,1.0,0.5714285714285714,1.0,0.0,0.306930693069307
random,seed_20262939,120,A_strict_38,main,margin,0.7,0.8259363474213057,0.7326732673267327,101,74,27,0.7326732673267327,1.0,0.7142857142857143,1.0,0.0,0.26732673267326734
random,seed_20262939,120,A_strict_38,main,margin,0.8,0.8140224662228148,0.8217821782178217,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20262939,120,A_strict_38,main,margin,0.9,0.7506769195945948,0.9108910891089109,101,91,10,0.900990099009901,0.989010989010989,0.8485103695125803,0.9944444444444445,0.01098901098901095,0.09900990099009899
random,seed_20262939,120,A_strict_38,main,margin,1.0,0.04203852033985517,1.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20262939,120,A_strict_38,main,distance,0.5,2.232478112792082,0.504950495049505,101,50,51,0.49504950495049505,1.0,0.5714285714285714,1.0,0.0,0.504950495049505
random,seed_20262939,120,A_strict_38,main,distance,0.6,2.570625045237871,0.6039603960396039,101,58,43,0.5742574257425742,1.0,0.5714285714285714,1.0,0.0,0.4257425742574258
random,seed_20262939,120,A_strict_38,main,distance,0.7,3.316266695331133,0.7029702970297029,101,65,36,0.6435643564356436,1.0,0.7142857142857143,1.0,0.0,0.3564356435643564
random,seed_20262939,120,A_strict_38,main,distance,0.8,5.5244121710686915,0.801980198019802,101,80,21,0.7920792079207921,0.9875,0.8490502416544903,0.9920634920634921,0.012499999999999956,0.20792079207920788
random,seed_20262939,120,A_strict_38,main,distance,0.9,8.814517698707508,0.900990099009901,101,91,10,0.900990099009901,0.989010989010989,0.8501184350240953,0.9938271604938271,0.01098901098901095,0.09900990099009899
random,seed_20262939,120,A_strict_38,main,distance,1.0,130.43648732078628,1.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20263948,120,A_strict_38,main,probability,0.5,0.8944501970107789,0.504950495049505,101,47,54,0.46534653465346537,1.0,0.42857142857142855,1.0,0.0,0.5346534653465347
