split_type,split_id,window_s,eval_split,mode,model,threshold,selected_threshold,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,balanced_accuracy,risk,selected_for_test,curve_point,calibration_folds,calibration_status
random,seed_20261930,120,test,family_selective_curve,random_forest,0.85,0.5,101,94,7,0.9306930693069307,0.9893617021276596,0.850480732833674,0.9935897435897436,0.010638297872340385,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.9,0.5,101,90,11,0.8910891089108911,0.9888888888888889,0.8502601040416167,0.9935897435897436,0.011111111111111072,False,True,3.0,train_only_sigmoid_cv
random,seed_20261930,120,test,family_selective_curve,random_forest,0.95,0.5,101,0,101,0.0,,,,,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,forced_family,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,False,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,False,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.05,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.1,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.15,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.2,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.25,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.3,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.35,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.4,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.45,0.0,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.5,0.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.55,0.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
