split_type,direction,window_s,input_group,true_class,predicted_class,count
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,LOCA,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,LOCAC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,LR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,MD,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,RI,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,RW,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,SGATR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,SGBTR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,SLBIC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,FLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,LOCA,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,LOCAC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,LR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,MD,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,RI,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,RW,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,SGATR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,SGBTR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,SLBIC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LLB,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,FLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,LOCA,16
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,LOCAC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,LR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,MD,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,RI,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,RW,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,SGATR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,SGBTR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,SLBIC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCA,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,FLB,3
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,LOCA,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,LOCAC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,LR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,MD,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,RI,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,RW,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,SGATR,12
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,SGBTR,1
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,SLBIC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LOCAC,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,FLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,LOCA,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,LOCAC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,LR,6
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,MD,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,RI,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,RW,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,SGATR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,SGBTR,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,SLBIC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,LR,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,MD,FLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,MD,LLB,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,MD,LOCA,0
