scope,input_group,window_s,selected_model,accident_class,recall,support,test_macro_f1,test_balanced_accuracy
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,40,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,60,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,90,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,120,logistic_regression,FLB,1.0,9,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,LLB,0.0,0,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,LOCAC,0.875,8,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,RW,1.0,1,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,RI,1.0,2,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,SGBTR,1.0,5,0.6472222222222223,0.96875
strict_pre_protection_only,A_strict_38,120,logistic_regression,LOCA,0.875,8,0.6472222222222223,0.96875
