split_type,split_id,window_s,eval_split,model,calibration_folds,calibration_status,bin,bin_lower,bin_upper,count,mean_confidence,accuracy,ece,brier_score,log_loss
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,1,0.4491505351203062,1.0,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,5,0.6405610347784993,1.0,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,0,,,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,59,0.8686335029823458,1.0,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,36,0.9109004839626808,1.0,0.13174505140962664,0.032953741232046196,0.14588528992140673
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,5,0.6382466262421286,0.8,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,1,0.734937988005187,1.0,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,63,0.8732376495649967,1.0,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20263948,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,32,0.91121384554846,1.0,0.11783182079840256,0.04045950700463862,0.172100885306075
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6910540854619057,0.0,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,7,0.7,0.8,1,0.7086522161098634,1.0,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,8,0.8,0.9,5,0.8685554004966916,1.0,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,validation,random_forest,3,train_only_sigmoid_cv,9,0.9,1.0,94,0.9356801439347524,0.9893617021276596,0.06619496373269171,0.03552665809670538,0.1213384174587541
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6209743834200651,0.0,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,7,0.7,0.8,0,,,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,8,0.8,0.9,5,0.8685010600448593,1.0,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20264957,120,test,random_forest,3,train_only_sigmoid_cv,9,0.9,1.0,95,0.9359660516032311,1.0,0.07288806119691896,0.01858238119285491,0.09470919437092502
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.08606445302855267,0.032473981919465024,0.13200581968082695
