split_type,split_id,window_s,feature,severity_dependency_max_abs_spearman,class_signal_max_between_share,class_signal_train_median,removed,screening_rule
random,seed_20260921,120,PSGB,0.5211478028472466,0.9867057086795404,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WFWA,0.09136757675603513,0.8246196393414692,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WFWB,0.08826533252689561,0.8369512038982291,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WSTA,0.22408591315263418,0.8928227679108138,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,WSTB,0.1954975935024734,0.8987571758284112,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,VOL,0.2135698120722819,0.6950899913520545,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,LVPZ,0.2135696728506499,0.6950913456244576,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,QMWT,0.060935139678235335,0.7725666501094799,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,LSGA,0.3160041362185159,0.9535784230376194,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,LSGB,0.6076926011506115,0.9840630192207693,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,QMGA,0.14459025810809006,0.8392478285373922,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,QMGB,0.3988924474825943,0.8330596213190634,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,NSGA,0.15906465549683677,0.6099559964167325,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,NSGB,0.18395586664559063,0.6214616348522533,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TSAT,0.21118143923775973,0.6609630329829552,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,LVCR,0.0,0.0,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
