sample_id,status,family,estimate,historical_validation_mae,historical_test_mae,exploratory,feature,variable,statistic,contribution,abs_contribution,direction,global_model_importance
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.611666666666661,0.611666666666661,lowers_estimate,0.005943215488539718
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111148,0.5941111111111148,raises_estimate,0.016774328398328833
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.5743333333333318,0.5743333333333318,raises_estimate,0.014883227886653347
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.5550000000000033,0.5550000000000033,raises_estimate,0.009045997709904408
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.5467777777777805,0.5467777777777805,raises_estimate,0.013801026484179463
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,NSGB__std,NSGB,std,0.46373015873016143,0.46373015873016143,raises_estimate,0.009256709472047786
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.44688888888888556,0.44688888888888556,lowers_estimate,0.009504943397152455
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.44023015873015225,0.44023015873015225,lowers_estimate,0.007698429463396752
LOCAC_31,accepted,primary_coolant_boundary_break,19.77206878306878,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.42677777777777237,0.42677777777777237,lowers_estimate,0.009227263858899635
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.8172222222222238,0.8172222222222238,raises_estimate,0.020488964915349857
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.6365000000000016,0.6365000000000016,raises_estimate,0.013801026484179463
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.6116666666666646,0.6116666666666646,lowers_estimate,0.005943215488539718
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111148,0.5941111111111148,raises_estimate,0.016774328398328833
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.5743333333333318,0.5743333333333318,raises_estimate,0.014883227886653347
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.5550000000000033,0.5550000000000033,raises_estimate,0.009045997709904408
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,NSGB__std,NSGB,std,0.4637301587301579,0.4637301587301579,raises_estimate,0.009256709472047786
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.4468888888888891,0.4468888888888891,lowers_estimate,0.009504943397152455
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.4402301587301558,0.4402301587301558,lowers_estimate,0.007698429463396752
LOCAC_33,accepted,primary_coolant_boundary_break,19.861791005291,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.42677777777777237,0.42677777777777237,lowers_estimate,0.009227263858899635
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.8172222222222203,0.8172222222222203,raises_estimate,0.020488964915349857
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.6365000000000016,0.6365000000000016,raises_estimate,0.013801026484179463
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.6116666666666646,0.6116666666666646,lowers_estimate,0.005943215488539718
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111148,0.5941111111111148,raises_estimate,0.016774328398328833
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.5743333333333283,0.5743333333333283,raises_estimate,0.014883227886653347
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.5549999999999997,0.5549999999999997,raises_estimate,0.009045997709904408
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,NSGB__std,NSGB,std,0.4637301587301579,0.4637301587301579,raises_estimate,0.009256709472047786
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.44688888888889267,0.44688888888889267,lowers_estimate,0.009504943397152455
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.44023015873015936,0.44023015873015936,lowers_estimate,0.007698429463396752
LOCAC_39,accepted,primary_coolant_boundary_break,19.863346560846555,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.4267777777777759,0.4267777777777759,lowers_estimate,0.009227263858899635
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.8172222222222203,0.8172222222222203,raises_estimate,0.020488964915349857
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.630833333333328,0.630833333333328,lowers_estimate,0.005943215488539718
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.5948333333333373,0.5948333333333373,raises_estimate,0.013801026484179463
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111148,0.5941111111111148,raises_estimate,0.016774328398328833
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.5743333333333318,0.5743333333333318,raises_estimate,0.014883227886653347
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,TCA__std,TCA,std,0.5550000000000033,0.5550000000000033,raises_estimate,0.009045997709904408
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,NSGB__std,NSGB,std,0.46373015873016143,0.46373015873016143,raises_estimate,0.009256709472047786
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,TFPK__slope,TFPK,slope,-0.44856349206348867,0.44856349206348867,lowers_estimate,0.007698429463396752
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,WFWA__slope,WFWA,slope,-0.43333333333333357,0.43333333333333357,lowers_estimate,0.009504943397152455
LOCAC_53,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,TCA__mean,TCA,mean,-0.4267777777777759,0.4267777777777759,lowers_estimate,0.009227263858899635
LOCAC_54,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,THA__std,THA,std,0.8172222222222203,0.8172222222222203,raises_estimate,0.020488964915349857
LOCAC_54,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,QMGB__slope,QMGB,slope,-0.630833333333328,0.630833333333328,lowers_estimate,0.005943215488539718
LOCAC_54,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,PWNT__std,PWNT,std,0.5948333333333373,0.5948333333333373,raises_estimate,0.013801026484179463
LOCAC_54,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,RHMT__std,RHMT,std,0.5941111111111148,0.5941111111111148,raises_estimate,0.016774328398328833
LOCAC_54,accepted,primary_coolant_boundary_break,19.97902116402116,0.9655100308641985,0.9724715909090943,True,QMWT__std,QMWT,std,0.5743333333333318,0.5743333333333318,raises_estimate,0.014883227886653347
