split_type,split_id,seed,window_s,input_group,model,eval_split,n_train,n_validation,n_test,n_features,fit_status,accuracy,macro_f1_fixed_12,macro_f1_observed_classes,balanced_accuracy,n_classes_eval,minimum_test_support,selected_for_test
random,seed_20261930,20261930.0,60,B_without_potential_leakage,hist_gradient_boosting,validation,303,101,101,185,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,60,B_without_potential_leakage,hist_gradient_boosting,test,303,101,101,185,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,True
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,logistic_regression,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,logistic_regression,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,random_forest,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,random_forest,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,hist_gradient_boosting,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,60,C_without_SLBIC_initial,hist_gradient_boosting,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,True
random,seed_20261930,20261930.0,90,A_strict_38,logistic_regression,validation,303,101,101,190,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,A_strict_38,logistic_regression,test,303,101,101,190,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,A_strict_38,random_forest,validation,303,101,101,190,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,A_strict_38,random_forest,test,303,101,101,190,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,A_strict_38,hist_gradient_boosting,validation,303,101,101,190,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,A_strict_38,hist_gradient_boosting,test,303,101,101,190,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,True
random,seed_20261930,20261930.0,90,B_without_potential_leakage,logistic_regression,validation,303,101,101,185,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,B_without_potential_leakage,logistic_regression,test,303,101,101,185,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,B_without_potential_leakage,random_forest,validation,303,101,101,185,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,B_without_potential_leakage,random_forest,test,303,101,101,185,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,B_without_potential_leakage,hist_gradient_boosting,validation,303,101,101,185,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,B_without_potential_leakage,hist_gradient_boosting,test,303,101,101,185,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,True
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,logistic_regression,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,logistic_regression,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,random_forest,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,random_forest,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,False
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,hist_gradient_boosting,validation,303,101,101,120,fitted,0.42574257425742573,0.20473463153875524,0.2729795087183403,0.3398692810457516,9,1,False
random,seed_20261930,20261930.0,90,C_without_SLBIC_initial,hist_gradient_boosting,test,303,101,101,120,fitted,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,True
random,seed_20261930,20261930.0,120,A_strict_38,logistic_regression,validation,303,101,101,190,fitted,0.9504950495049505,0.7156045125292207,0.9541393500389612,0.9500000000000001,9,1,False
random,seed_20261930,20261930.0,120,A_strict_38,logistic_regression,test,303,101,101,190,fitted,0.9207920792079208,0.6168450542805001,0.9252675814207502,0.9192708333333334,8,5,False
random,seed_20261930,20261930.0,120,A_strict_38,random_forest,validation,303,101,101,190,fitted,1.0,0.75,1.0,1.0,9,1,False
random,seed_20261930,20261930.0,120,A_strict_38,random_forest,test,303,101,101,190,fitted,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,False
random,seed_20261930,20261930.0,120,A_strict_38,hist_gradient_boosting,validation,303,101,101,190,fitted,1.0,0.75,1.0,1.0,9,1,False
random,seed_20261930,20261930.0,120,A_strict_38,hist_gradient_boosting,test,303,101,101,190,fitted,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,True
random,seed_20261930,20261930.0,120,B_without_potential_leakage,logistic_regression,validation,303,101,101,185,fitted,0.9504950495049505,0.7156045125292207,0.9541393500389612,0.9500000000000001,9,1,False
random,seed_20261930,20261930.0,120,B_without_potential_leakage,logistic_regression,test,303,101,101,185,fitted,0.9207920792079208,0.6168450542805001,0.9252675814207502,0.9192708333333334,8,5,False
random,seed_20261930,20261930.0,120,B_without_potential_leakage,random_forest,validation,303,101,101,185,fitted,1.0,0.75,1.0,1.0,9,1,False
random,seed_20261930,20261930.0,120,B_without_potential_leakage,random_forest,test,303,101,101,185,fitted,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,False
random,seed_20261930,20261930.0,120,B_without_potential_leakage,hist_gradient_boosting,validation,303,101,101,185,fitted,1.0,0.75,1.0,1.0,9,1,False
random,seed_20261930,20261930.0,120,B_without_potential_leakage,hist_gradient_boosting,test,303,101,101,185,fitted,0.9900990099009901,0.6617262423714037,0.9925893635571055,0.9921875,8,5,True
random,seed_20261930,20261930.0,120,C_without_SLBIC_initial,logistic_regression,validation,303,101,101,120,fitted,0.9504950495049505,0.7156045125292207,0.9541393500389612,0.9500000000000001,9,1,False
random,seed_20261930,20261930.0,120,C_without_SLBIC_initial,logistic_regression,test,303,101,101,120,fitted,0.900990099009901,0.6067230625654539,0.9100845938481807,0.904513888888889,8,5,False
random,seed_20261930,20261930.0,120,C_without_SLBIC_initial,random_forest,validation,303,101,101,120,fitted,1.0,0.75,1.0,1.0,9,1,False
random,seed_20261930,20261930.0,120,C_without_SLBIC_initial,random_forest,test,303,101,101,120,fitted,0.9801980198019802,0.6567189664929844,0.9850784497394767,0.9838541666666667,8,5,False
