split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
severity_blocked,middle_block,120,B_relative_change,LLB,SLBIC,0,0
severity_blocked,middle_block,120,B_relative_change,LLB,SLBOC,0,0
severity_blocked,middle_block,120,B_relative_change,LOCA,FLB,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,LLB,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,LOCA,16,16
severity_blocked,middle_block,120,B_relative_change,LOCA,LOCAC,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,LR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,MD,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,RI,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,RW,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,SGATR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,SGBTR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,SLBIC,0,16
severity_blocked,middle_block,120,B_relative_change,LOCA,SLBOC,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,FLB,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,LLB,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,LOCA,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,LOCAC,16,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,LR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,MD,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,RI,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,RW,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,SGATR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,SGBTR,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,SLBIC,0,16
severity_blocked,middle_block,120,B_relative_change,LOCAC,SLBOC,0,16
severity_blocked,middle_block,120,B_relative_change,LR,FLB,0,6
severity_blocked,middle_block,120,B_relative_change,LR,LLB,0,6
severity_blocked,middle_block,120,B_relative_change,LR,LOCA,0,6
severity_blocked,middle_block,120,B_relative_change,LR,LOCAC,0,6
severity_blocked,middle_block,120,B_relative_change,LR,LR,6,6
severity_blocked,middle_block,120,B_relative_change,LR,MD,0,6
severity_blocked,middle_block,120,B_relative_change,LR,RI,0,6
severity_blocked,middle_block,120,B_relative_change,LR,RW,0,6
severity_blocked,middle_block,120,B_relative_change,LR,SGATR,0,6
severity_blocked,middle_block,120,B_relative_change,LR,SGBTR,0,6
severity_blocked,middle_block,120,B_relative_change,LR,SLBIC,0,6
severity_blocked,middle_block,120,B_relative_change,LR,SLBOC,0,6
severity_blocked,middle_block,120,B_relative_change,MD,FLB,0,0
severity_blocked,middle_block,120,B_relative_change,MD,LLB,0,0
severity_blocked,middle_block,120,B_relative_change,MD,LOCA,0,0
severity_blocked,middle_block,120,B_relative_change,MD,LOCAC,0,0
severity_blocked,middle_block,120,B_relative_change,MD,LR,0,0
severity_blocked,middle_block,120,B_relative_change,MD,MD,0,0
severity_blocked,middle_block,120,B_relative_change,MD,RI,0,0
severity_blocked,middle_block,120,B_relative_change,MD,RW,0,0
severity_blocked,middle_block,120,B_relative_change,MD,SGATR,0,0
