split_type,split_id,window_s,feature_group,analysis_scope,eval_split,alpha,calibration_n,probability_cutoff,empirical_set_coverage,average_prediction_set_size,single_label_rate,ambiguous_multi_label_rate,empty_unknown_rate,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate,selected_model,calibration_status
random,seed_20265966,60,A_strict_38,control,test,0.2,101,0.1819618853756193,0.9504950495049505,3.227722772277228,0.25742574257425743,0.7425742574257426,0.0,0.25742574257425743,1.0,0.42857142857142855,1.0,0.0,0.7425742574257426,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20265966,90,A_strict_38,control,test,0.05,101,0.07683869521984754,1.0,4.485148514851486,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20265966,90,A_strict_38,control,test,0.1,101,0.1819618853756193,0.9504950495049505,3.227722772277228,0.25742574257425743,0.7425742574257426,0.0,0.25742574257425743,1.0,0.42857142857142855,1.0,0.0,0.7425742574257426,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20265966,90,A_strict_38,control,test,0.2,101,0.1819618853756193,0.9504950495049505,3.227722772277228,0.25742574257425743,0.7425742574257426,0.0,0.25742574257425743,1.0,0.42857142857142855,1.0,0.0,0.7425742574257426,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,120,A_strict_38,main,test,0.05,101,0.605885809939888,0.9603960396039604,0.9702970297029703,0.9702970297029703,0.0,0.0297029702970297,0.9702970297029703,0.9897959183673469,0.8499491750723278,0.9888888888888889,0.010204081632653073,0.02970297029702973,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,120,A_strict_38,main,test,0.1,101,0.8497854846416325,0.9108910891089109,0.9108910891089109,0.9108910891089109,0.0,0.0891089108910891,0.9108910891089109,1.0,0.8571428571428571,1.0,0.0,0.08910891089108908,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,120,A_strict_38,main,test,0.2,101,0.8748858484769194,0.8217821782178217,0.8217821782178217,0.8217821782178217,0.0,0.1782178217821782,0.8217821782178217,1.0,0.7142857142857143,1.0,0.0,0.17821782178217827,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,60,A_strict_38,control,test,0.05,101,0.07525239361236025,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,60,A_strict_38,control,test,0.1,101,0.18007258008522609,0.9504950495049505,3.287128712871287,0.21782178217821782,0.7821782178217822,0.0,0.21782178217821782,1.0,0.2857142857142857,1.0,0.0,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,60,A_strict_38,control,test,0.2,101,0.18007258008522609,0.9504950495049505,3.287128712871287,0.21782178217821782,0.7821782178217822,0.0,0.21782178217821782,1.0,0.2857142857142857,1.0,0.0,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,90,A_strict_38,control,test,0.05,101,0.07525239361236025,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,90,A_strict_38,control,test,0.1,101,0.18007258008522609,0.9504950495049505,3.287128712871287,0.21782178217821782,0.7821782178217822,0.0,0.21782178217821782,1.0,0.2857142857142857,1.0,0.0,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20266975,90,A_strict_38,control,test,0.2,101,0.18007258008522609,0.9504950495049505,3.287128712871287,0.21782178217821782,0.7821782178217822,0.0,0.21782178217821782,1.0,0.2857142857142857,1.0,0.0,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,120,A_strict_38,main,test,0.05,101,0.7992041376300549,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.0,0.019801980198019802,0.9801980198019802,1.0,0.8571428571428571,1.0,0.0,0.01980198019801982,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,120,A_strict_38,main,test,0.1,101,0.8464645419709478,0.9504950495049505,0.9504950495049505,0.9504950495049505,0.0,0.04950495049504951,0.9504950495049505,1.0,0.8571428571428571,1.0,0.0,0.04950495049504955,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,120,A_strict_38,main,test,0.2,101,0.887632018326279,0.8712871287128713,0.8712871287128713,0.8712871287128713,0.0,0.12871287128712872,0.8712871287128713,1.0,0.7142857142857143,1.0,0.0,0.12871287128712872,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,60,A_strict_38,control,test,0.05,101,0.0767068050198707,1.0,4.524752475247524,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,60,A_strict_38,control,test,0.1,101,0.18226404087547377,0.9504950495049505,3.287128712871287,0.2376237623762376,0.7623762376237624,0.0,0.2376237623762376,1.0,0.42857142857142855,1.0,0.0,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,60,A_strict_38,control,test,0.2,101,0.18226404087547377,0.9504950495049505,3.287128712871287,0.2376237623762376,0.7623762376237624,0.0,0.2376237623762376,1.0,0.42857142857142855,1.0,0.0,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,90,A_strict_38,control,test,0.05,101,0.0767068050198707,1.0,4.524752475247524,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,90,A_strict_38,control,test,0.1,101,0.18226404087547377,0.9504950495049505,3.287128712871287,0.2376237623762376,0.7623762376237624,0.0,0.2376237623762376,1.0,0.42857142857142855,1.0,0.0,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20267984,90,A_strict_38,control,test,0.2,101,0.18226404087547377,0.9504950495049505,3.287128712871287,0.2376237623762376,0.7623762376237624,0.0,0.2376237623762376,1.0,0.42857142857142855,1.0,0.0,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20268993,120,A_strict_38,main,test,0.05,101,0.9059705583205298,0.900990099009901,0.900990099009901,0.900990099009901,0.0,0.09900990099009901,0.900990099009901,1.0,0.8571428571428571,1.0,0.0,0.09900990099009899,random_forest,train_only_sigmoid_cv
random,seed_20268993,120,A_strict_38,main,test,0.1,101,0.9156305233687232,0.8613861386138614,0.8613861386138614,0.8613861386138614,0.0,0.13861386138613863,0.8613861386138614,1.0,0.8571428571428571,1.0,0.0,0.13861386138613863,random_forest,train_only_sigmoid_cv
random,seed_20268993,120,A_strict_38,main,test,0.2,101,0.929471996964811,0.8217821782178217,0.8217821782178217,0.8217821782178217,0.0,0.1782178217821782,0.8217821782178217,1.0,0.7142857142857143,1.0,0.0,0.17821782178217827,random_forest,train_only_sigmoid_cv
random,seed_20268993,60,A_strict_38,control,test,0.05,101,0.07717484579702982,1.0,4.544554455445544,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
