split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,eligible_families
random,seed_20267984,60,two_stage_end_to_end,family_then_subtype,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20267984,90,family_model,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20267984,90,fine_grained_12_class,hist_gradient_boosting,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,
random,seed_20267984,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.43564356435643564,0.323506435294871,0.37742417451068283,0.4324970131421744,6,5,
random,seed_20267984,90,two_stage_end_to_end,family_then_subtype,True,0.43564356435643564,0.21769759450171822,0.32654639175257727,0.3888888888888889,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20267984,120,family_model,hist_gradient_boosting,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20267984,120,fine_grained_12_class,random_forest,True,1.0,0.6666666666666666,1.0,1.0,8,5,
random,seed_20267984,120,fine_predictions_mapped_to_family,random_forest,True,1.0,0.8571428571428571,1.0,1.0,6,5,
random,seed_20267984,120,two_stage_end_to_end,family_then_subtype,True,1.0,0.6666666666666666,1.0,1.0,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20268993,60,family_model,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20268993,60,fine_grained_12_class,hist_gradient_boosting,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,
random,seed_20268993,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20268993,60,two_stage_end_to_end,family_then_subtype,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20268993,90,family_model,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20268993,90,fine_grained_12_class,hist_gradient_boosting,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,
