scope,window_s,input_group,model,eval_split,n_samples,n_features,n_classes_train,n_classes_eval,n_unknown_protection,accuracy,macro_f1,macro_f1_observed_classes,balanced_accuracy,fit_status
all_sample,90,B_without_potential_leakage,random_forest,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,B_without_potential_leakage,random_forest,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,B_without_potential_leakage,hist_gradient_boosting,validation,121,185,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,B_without_potential_leakage,hist_gradient_boosting,test,123,185,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,C_without_SLBIC_initial,naive_majority,validation,121,120,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,90,C_without_SLBIC_initial,naive_majority,test,123,120,12,12,59,0.08130081300813008,0.012531328320802004,0.012531328320802004,0.08333333333333333,majority_baseline
all_sample,90,C_without_SLBIC_initial,logistic_regression,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,C_without_SLBIC_initial,logistic_regression,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,C_without_SLBIC_initial,random_forest,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,C_without_SLBIC_initial,random_forest,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,90,C_without_SLBIC_initial,hist_gradient_boosting,validation,121,120,12,12,57,0.2809917355371901,0.19586894586894588,0.19586894586894588,0.27499999999999997,fitted
all_sample,90,C_without_SLBIC_initial,hist_gradient_boosting,test,123,120,12,12,59,0.2764227642276423,0.19275498978469274,0.19275498978469274,0.2727272727272727,fitted
all_sample,120,A_strict_38,naive_majority,validation,119,190,12,12,55,0.08403361344537816,0.012919896640826873,0.012919896640826873,0.08333333333333333,majority_baseline
all_sample,120,A_strict_38,naive_majority,test,121,190,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,120,A_strict_38,logistic_regression,validation,119,190,12,12,55,0.7226890756302521,0.7022599525119837,0.7022599525119837,0.7265151515151516,fitted
all_sample,120,A_strict_38,logistic_regression,test,121,190,12,12,57,0.7272727272727273,0.711920631461331,0.711920631461331,0.7303030303030303,fitted
all_sample,120,A_strict_38,random_forest,validation,119,190,12,12,55,0.8151260504201681,0.7757366902103744,0.7757366902103744,0.8174242424242424,fitted
all_sample,120,A_strict_38,random_forest,test,121,190,12,12,57,0.7851239669421488,0.7488484378142246,0.7488484378142246,0.7848484848484848,fitted
all_sample,120,A_strict_38,hist_gradient_boosting,validation,119,190,12,12,55,0.8151260504201681,0.7749582289055974,0.7749582289055974,0.8166666666666668,fitted
all_sample,120,A_strict_38,hist_gradient_boosting,test,121,190,12,12,57,0.7933884297520661,0.7525839962224402,0.7525839962224402,0.7924242424242424,fitted
all_sample,120,B_without_potential_leakage,naive_majority,validation,119,185,12,12,55,0.08403361344537816,0.012919896640826873,0.012919896640826873,0.08333333333333333,majority_baseline
