split_type,split_id,window_s,feature_group,analysis_scope,mechanism,eval_split,target_coverage,threshold,secondary_threshold,validation_coverage,selected_model,calibration_status,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20263948,90,A_strict_38,control,probability,test,0.7,0.26674897249515556,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20263948,90,A_strict_38,control,margin,test,0.7,0.0007049011495338098,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20263948,90,A_strict_38,control,distance,test,0.7,0.9999999999999882,,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,0.2631578947368421,0.05952380952380953,0.2,0.736842105263158,0.24752475247524752
random,seed_20263948,90,A_strict_38,control,combination,test,0.7,0.26674897249515556,0.9999999999999882,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,0.2631578947368421,0.05952380952380953,0.2,0.736842105263158,0.24752475247524752
random,seed_20264957,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,random_forest,train_only_sigmoid_cv,101,101,0,1.0,0.9900990099009901,0.8422928422928423,0.9761904761904763,0.00990099009900991,0.0
random,seed_20264957,120,A_strict_38,main,probability,test,0.7,0.9335263716693053,,0.7029702970297029,random_forest,train_only_sigmoid_cv,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20264957,120,A_strict_38,main,margin,test,0.7,0.9140167501198494,,0.7029702970297029,random_forest,train_only_sigmoid_cv,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20264957,120,A_strict_38,main,distance,test,0.7,4.144726887583355,,0.7029702970297029,random_forest,train_only_sigmoid_cv,101,78,23,0.7722772277227723,1.0,0.7142857142857143,1.0,0.0,0.2277227722772277
random,seed_20264957,120,A_strict_38,main,combination,test,0.7,0.9335263716693053,2840.193124939792,0.7029702970297029,random_forest,train_only_sigmoid_cv,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20264957,60,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
random,seed_20264957,60,A_strict_38,control,probability,test,0.7,0.26319967387488835,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
random,seed_20264957,60,A_strict_38,control,margin,test,0.7,0.0042040395476937165,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
random,seed_20264957,60,A_strict_38,control,distance,test,0.7,1.0000000000000058,,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,84,17,0.8316831683168316,0.32142857142857145,0.20176730486008834,0.3333333333333333,0.6785714285714286,0.16831683168316836
random,seed_20264957,60,A_strict_38,control,combination,test,0.7,0.26319967387488835,1.0000000000000058,0.8217821782178217,hist_gradient_boosting,train_only_sigmoid_cv,101,84,17,0.8316831683168316,0.32142857142857145,0.20176730486008834,0.3333333333333333,0.6785714285714286,0.16831683168316836
random,seed_20264957,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
random,seed_20264957,90,A_strict_38,control,probability,test,0.7,0.26319967387488835,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
random,seed_20264957,90,A_strict_38,control,margin,test,0.7,0.0042040395476937165,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.43564356435643564,0.323506435294871,0.4324970131421744,0.5643564356435644,0.0
