split_type,window_s,input_group,accident_class,support_mean,support_min,support_max,n_splits,n_evaluable_splits,recall_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high
random,120,C_without_SLBIC_initial,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,120,C_without_SLBIC_initial,LLB,0.0,0,0,10,0,0,,,,
random,120,C_without_SLBIC_initial,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,120,C_without_SLBIC_initial,LOCAC,16.0,16,16,10,10,10,0.96875,0.03294039229342062,0.9483333333333334,0.9891666666666666
random,120,C_without_SLBIC_initial,LR,5.0,5,5,10,10,10,1.0,0.0,1.0,1.0
random,120,C_without_SLBIC_initial,MD,0.0,0,0,10,0,0,,,,
random,120,C_without_SLBIC_initial,RI,7.0,7,7,10,10,10,0.9428571428571428,0.09988655696858587,0.8809468134371754,1.0047674722771103
random,120,C_without_SLBIC_initial,RW,0.0,0,0,10,0,0,,,,
random,120,C_without_SLBIC_initial,SGATR,9.0,9,9,10,10,10,1.0,0.0,1.0,1.0
random,120,C_without_SLBIC_initial,SGBTR,11.0,11,11,10,10,10,1.0,0.0,1.0,1.0
random,120,C_without_SLBIC_initial,SLBIC,18.0,18,18,10,10,10,0.9888888888888889,0.02342427896421023,0.9743703703703704,1.0034074074074075
random,120,C_without_SLBIC_initial,SLBOC,0.0,0,0,10,0,0,,,,
severity_blocked,30,A_strict_38,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,A_strict_38,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,30,A_strict_38,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,A_strict_38,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,A_strict_38,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,A_strict_38,MD,0.0,0,0,3,0,0,,,,
severity_blocked,30,A_strict_38,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,A_strict_38,RW,0.0,0,0,3,0,0,,,,
severity_blocked,30,A_strict_38,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,A_strict_38,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,A_strict_38,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,A_strict_38,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,30,B_without_potential_leakage,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,B_without_potential_leakage,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,30,B_without_potential_leakage,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,B_without_potential_leakage,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,B_without_potential_leakage,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,B_without_potential_leakage,MD,0.0,0,0,3,0,0,,,,
severity_blocked,30,B_without_potential_leakage,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,B_without_potential_leakage,RW,0.0,0,0,3,0,0,,,,
severity_blocked,30,B_without_potential_leakage,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,B_without_potential_leakage,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,B_without_potential_leakage,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,B_without_potential_leakage,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,30,C_without_SLBIC_initial,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,C_without_SLBIC_initial,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,30,C_without_SLBIC_initial,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,C_without_SLBIC_initial,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,C_without_SLBIC_initial,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,C_without_SLBIC_initial,MD,0.0,0,0,3,0,0,,,,
severity_blocked,30,C_without_SLBIC_initial,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,30,C_without_SLBIC_initial,RW,0.0,0,0,3,0,0,,,,
severity_blocked,30,C_without_SLBIC_initial,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,C_without_SLBIC_initial,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,C_without_SLBIC_initial,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,30,C_without_SLBIC_initial,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,60,A_strict_38,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,A_strict_38,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,60,A_strict_38,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,A_strict_38,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,A_strict_38,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,A_strict_38,MD,0.0,0,0,3,0,0,,,,
severity_blocked,60,A_strict_38,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,A_strict_38,RW,0.0,0,0,3,0,0,,,,
severity_blocked,60,A_strict_38,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,A_strict_38,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,A_strict_38,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,A_strict_38,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,60,B_without_potential_leakage,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,B_without_potential_leakage,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,60,B_without_potential_leakage,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,B_without_potential_leakage,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,B_without_potential_leakage,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,B_without_potential_leakage,MD,0.0,0,0,3,0,0,,,,
severity_blocked,60,B_without_potential_leakage,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,B_without_potential_leakage,RW,0.0,0,0,3,0,0,,,,
severity_blocked,60,B_without_potential_leakage,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,B_without_potential_leakage,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,B_without_potential_leakage,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,B_without_potential_leakage,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,60,C_without_SLBIC_initial,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,C_without_SLBIC_initial,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,60,C_without_SLBIC_initial,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,C_without_SLBIC_initial,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,C_without_SLBIC_initial,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,C_without_SLBIC_initial,MD,0.0,0,0,3,0,0,,,,
severity_blocked,60,C_without_SLBIC_initial,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,60,C_without_SLBIC_initial,RW,0.0,0,0,3,0,0,,,,
severity_blocked,60,C_without_SLBIC_initial,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,C_without_SLBIC_initial,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,C_without_SLBIC_initial,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,60,C_without_SLBIC_initial,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,90,A_strict_38,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,A_strict_38,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,90,A_strict_38,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,A_strict_38,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,A_strict_38,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,A_strict_38,MD,0.0,0,0,3,0,0,,,,
severity_blocked,90,A_strict_38,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,A_strict_38,RW,0.0,0,0,3,0,0,,,,
severity_blocked,90,A_strict_38,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,A_strict_38,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,A_strict_38,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,A_strict_38,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,90,B_without_potential_leakage,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,B_without_potential_leakage,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,90,B_without_potential_leakage,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,B_without_potential_leakage,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,B_without_potential_leakage,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,B_without_potential_leakage,MD,0.0,0,0,3,0,0,,,,
severity_blocked,90,B_without_potential_leakage,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,B_without_potential_leakage,RW,0.0,0,0,3,0,0,,,,
severity_blocked,90,B_without_potential_leakage,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,B_without_potential_leakage,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,B_without_potential_leakage,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,B_without_potential_leakage,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,90,C_without_SLBIC_initial,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,C_without_SLBIC_initial,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,90,C_without_SLBIC_initial,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,C_without_SLBIC_initial,LOCAC,16.0,16,16,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,C_without_SLBIC_initial,LR,6.0,6,6,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,C_without_SLBIC_initial,MD,0.0,0,0,3,0,0,,,,
severity_blocked,90,C_without_SLBIC_initial,RI,7.0,7,7,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,90,C_without_SLBIC_initial,RW,0.0,0,0,3,0,0,,,,
severity_blocked,90,C_without_SLBIC_initial,SGATR,9.0,9,9,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,C_without_SLBIC_initial,SGBTR,11.0,11,11,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,C_without_SLBIC_initial,SLBIC,18.0,18,18,3,3,3,0.0,0.0,0.0,0.0
severity_blocked,90,C_without_SLBIC_initial,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,120,A_strict_38,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,120,A_strict_38,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,LOCAC,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,LR,6.0,6,6,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,MD,0.0,0,0,3,0,0,,,,
severity_blocked,120,A_strict_38,RI,7.0,7,7,3,3,3,0.6666666666666666,0.5773502691896258,0.013333333333333197,1.32
severity_blocked,120,A_strict_38,RW,0.0,0,0,3,0,0,,,,
severity_blocked,120,A_strict_38,SGATR,9.0,9,9,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,SGBTR,11.0,11,11,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,A_strict_38,SLBIC,18.0,18,18,3,3,3,0.7037037037037037,0.5132002392796673,0.12296296296296294,1.2844444444444445
severity_blocked,120,A_strict_38,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,120,B_without_potential_leakage,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,120,B_without_potential_leakage,LOCA,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,LOCAC,16.0,16,16,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,LR,6.0,6,6,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,MD,0.0,0,0,3,0,0,,,,
severity_blocked,120,B_without_potential_leakage,RI,7.0,7,7,3,3,3,0.6666666666666666,0.5773502691896258,0.013333333333333197,1.32
severity_blocked,120,B_without_potential_leakage,RW,0.0,0,0,3,0,0,,,,
severity_blocked,120,B_without_potential_leakage,SGATR,9.0,9,9,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,SGBTR,11.0,11,11,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,B_without_potential_leakage,SLBIC,18.0,18,18,3,3,3,0.7037037037037037,0.5132002392796673,0.12296296296296294,1.2844444444444445
severity_blocked,120,B_without_potential_leakage,SLBOC,0.0,0,0,3,0,0,,,,
severity_blocked,120,C_without_SLBIC_initial,FLB,20.0,20,20,3,3,3,1.0,0.0,1.0,1.0
severity_blocked,120,C_without_SLBIC_initial,LLB,0.0,0,0,3,0,0,,,,
severity_blocked,120,C_without_SLBIC_initial,LOCA,16.0,16,16,3,3,3,0.8958333333333334,0.18042195912175804,0.6916666666666667,1.1
severity_blocked,120,C_without_SLBIC_initial,LOCAC,16.0,16,16,3,3,3,0.7916666666666666,0.3608439182435161,0.3833333333333333,1.2
