split_type,window_s,input_group,accident_class,support_mean,support_min,support_max,n_splits,n_evaluable_splits,recall_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high
random,120,A_strict_38,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,120,A_strict_38,LLB,0.0,0,0,10,0,0,,,,
random,120,A_strict_38,LOCA,15.0,15,15,10,10,10,0.9800000000000001,0.04499657051403685,0.9521108366547371,1.0078891633452631
random,120,A_strict_38,LOCAC,16.0,16,16,10,10,10,0.95625,0.04218428485690956,0.9301039093638159,0.9823960906361842
random,120,A_strict_38,LR,5.0,5,5,10,10,10,1.0,0.0,1.0,1.0
random,120,A_strict_38,MD,0.0,0,0,10,0,0,,,,
random,120,A_strict_38,RI,7.0,7,7,10,10,10,0.9571428571428573,0.06900655593423545,0.9143721506566028,0.9999135636291118
random,120,A_strict_38,RW,0.0,0,0,10,0,0,,,,
random,120,A_strict_38,SGATR,9.0,9,9,10,10,10,1.0,0.0,1.0,1.0
random,120,A_strict_38,SGBTR,11.0,11,11,10,10,10,1.0,0.0,1.0,1.0
random,120,A_strict_38,SLBIC,18.0,18,18,10,10,10,0.9777777777777779,0.053671765726627546,0.9445116727329133,1.0110438828226425
random,120,A_strict_38,SLBOC,0.0,0,0,10,0,0,,,,
random,120,B_without_potential_leakage,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,120,B_without_potential_leakage,LLB,0.0,0,0,10,0,0,,,,
random,120,B_without_potential_leakage,LOCA,15.0,15,15,10,10,10,0.9800000000000001,0.04499657051403685,0.9521108366547371,1.0078891633452631
random,120,B_without_potential_leakage,LOCAC,16.0,16,16,10,10,10,0.95625,0.04218428485690956,0.9301039093638159,0.9823960906361842
random,120,B_without_potential_leakage,LR,5.0,5,5,10,10,10,1.0,0.0,1.0,1.0
random,120,B_without_potential_leakage,MD,0.0,0,0,10,0,0,,,,
random,120,B_without_potential_leakage,RI,7.0,7,7,10,10,10,0.9571428571428573,0.06900655593423545,0.9143721506566028,0.9999135636291118
random,120,B_without_potential_leakage,RW,0.0,0,0,10,0,0,,,,
random,120,B_without_potential_leakage,SGATR,9.0,9,9,10,10,10,1.0,0.0,1.0,1.0
random,120,B_without_potential_leakage,SGBTR,11.0,11,11,10,10,10,1.0,0.0,1.0,1.0
random,120,B_without_potential_leakage,SLBIC,18.0,18,18,10,10,10,0.9777777777777779,0.053671765726627546,0.9445116727329133,1.0110438828226425
random,120,B_without_potential_leakage,SLBOC,0.0,0,0,10,0,0,,,,
