mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
strict,30,severity_plus_process,gradient_boosting,test,20,191,0,0,86.03502401767435,348.4847179639786,0.2910588652775127
strict,60,severity_only,naive_mean,train,59,1,0,0,54.7641482332663,109.68721951383769,0.0
strict,60,severity_only,naive_mean,validation,20,1,0,0,82.48177966101694,213.2966554818194,-0.0186316538070197
strict,60,severity_only,naive_mean,test,20,1,0,0,131.95677966101692,421.4252551224051,-0.036633297585000335
strict,60,severity_only,ridge,train,59,1,0,0,47.960523287286094,92.8658087973068,0.28319729460264964
strict,60,severity_only,ridge,validation,20,1,0,0,74.44891087895326,193.05329631482775,0.165543851241312
strict,60,severity_only,ridge,test,20,1,0,0,123.09936970866829,400.6866465345597,0.06288308666865383
strict,60,severity_only,random_forest,train,59,1,0,0,9.21739105237199,37.89672700309157,0.880631056176014
strict,60,severity_only,random_forest,validation,20,1,0,0,32.38112106481482,127.61698982464272,0.6353585211619965
strict,60,severity_only,random_forest,test,20,1,0,0,86.82564467592593,338.73522013129934,0.3302622978959968
strict,60,severity_only,gradient_boosting,train,59,1,0,0,8.968891874111257,52.27571974734802,0.7728629469215056
strict,60,severity_only,gradient_boosting,validation,20,1,0,0,36.2934854581092,151.34396277552224,0.48716308515805384
strict,60,severity_only,gradient_boosting,test,20,1,0,0,85.9574834350288,361.157037521478,0.2386642879375016
strict,60,process_only,naive_mean,train,59,190,0,0,54.7641482332663,109.68721951383769,0.0
strict,60,process_only,naive_mean,validation,20,190,0,0,82.48177966101694,213.2966554818194,-0.0186316538070197
strict,60,process_only,naive_mean,test,20,190,0,0,131.95677966101692,421.4252551224051,-0.036633297585000335
strict,60,process_only,ridge,train,59,190,0,0,54.7641482332663,109.68721951383769,0.0
strict,60,process_only,ridge,validation,20,190,0,0,82.48177966101694,213.2966554818194,-0.0186316538070197
strict,60,process_only,ridge,test,20,190,0,0,131.95677966101692,421.4252551224051,-0.036633297585000335
strict,60,process_only,random_forest,train,59,190,0,0,54.581026046155344,109.68760819698952,-7.0871308837094915e-06
strict,60,process_only,random_forest,validation,20,190,0,0,82.30657627118649,213.33634360038428,-0.01901076275215674
strict,60,process_only,random_forest,test,20,190,0,0,131.78157627118648,421.48024566430684,-0.03690384969503113
strict,60,process_only,gradient_boosting,train,59,190,0,0,43.44413984066547,111.68257117048991,-0.03671349629602383
strict,60,process_only,gradient_boosting,validation,20,190,0,0,71.78942174955237,217.13987415581818,-0.05567014556294714
strict,60,process_only,gradient_boosting,test,20,190,0,0,121.6144217495524,425.8766972026482,-0.058648514651605144
strict,60,severity_plus_process,naive_mean,train,59,191,0,0,54.7641482332663,109.68721951383769,0.0
strict,60,severity_plus_process,naive_mean,validation,20,191,0,0,82.48177966101694,213.2966554818194,-0.0186316538070197
strict,60,severity_plus_process,naive_mean,test,20,191,0,0,131.95677966101692,421.4252551224051,-0.036633297585000335
strict,60,severity_plus_process,ridge,train,59,191,0,0,47.96052328728611,92.8658087973068,0.28319729460264975
strict,60,severity_plus_process,ridge,validation,20,191,0,0,74.44891087895326,193.05329631482775,0.165543851241312
strict,60,severity_plus_process,ridge,test,20,191,0,0,123.09936970866832,400.6866465345597,0.06288308666865383
strict,60,severity_plus_process,random_forest,train,59,191,0,0,9.21739105237199,37.896727003091584,0.8806310561760139
strict,60,severity_plus_process,random_forest,validation,20,191,0,0,32.381121064814835,127.61698982464274,0.6353585211619964
strict,60,severity_plus_process,random_forest,test,20,191,0,0,86.82564467592593,338.73522013129934,0.3302622978959968
strict,60,severity_plus_process,gradient_boosting,train,59,191,0,0,8.968891874111257,52.27571974734802,0.7728629469215056
strict,60,severity_plus_process,gradient_boosting,validation,20,191,0,0,36.2934854581092,151.34396277552224,0.48716308515805384
strict,60,severity_plus_process,gradient_boosting,test,20,191,0,0,85.9574834350288,361.157037521478,0.2386642879375016
strict,120,severity_only,naive_mean,train,45,1,0,0,66.24000000000001,122.62705882290237,0.0
strict,120,severity_only,naive_mean,validation,15,1,0,0,102.67333333333337,242.581663225672,-0.027047803656155445
strict,120,severity_only,naive_mean,test,16,1,0,0,161.0,467.7869012702258,-0.04436312216977356
strict,120,severity_only,ridge,train,45,1,0,0,55.08765966891555,100.73234372214672,0.3252152585686351
strict,120,severity_only,ridge,validation,15,1,0,0,89.19864876393129,215.89998473301938,0.186458067732437
strict,120,severity_only,ridge,test,16,1,0,0,147.39455999899457,441.127388418922,0.07128286163621356
strict,120,severity_only,random_forest,train,45,1,0,0,11.758300720164613,43.17787994652661,0.8760204644621529
strict,120,severity_only,random_forest,validation,15,1,0,0,42.89234250440916,147.24888905698282,0.6215759118637361
strict,120,severity_only,random_forest,test,16,1,0,0,108.4326316137566,378.6614415905863,0.31568260085169686
strict,120,severity_only,gradient_boosting,train,45,1,0,0,10.137231114288168,47.29096012645306,0.8512751159986928
strict,120,severity_only,gradient_boosting,validation,15,1,0,0,43.41825073213341,155.77173257244561,0.5765013598793574
strict,120,severity_only,gradient_boosting,test,16,1,0,0,107.4129082448726,386.779416504723,0.286026451522322
strict,120,process_only,naive_mean,train,45,190,0,0,66.24000000000001,122.62705882290237,0.0
strict,120,process_only,naive_mean,validation,15,190,0,0,102.67333333333337,242.581663225672,-0.027047803656155445
strict,120,process_only,naive_mean,test,16,190,0,0,161.0,467.7869012702258,-0.04436312216977356
strict,120,process_only,ridge,train,45,190,0,0,22.086041701797228,41.24767593699434,0.8868573508013673
strict,120,process_only,ridge,validation,15,190,0,0,50.47137226978142,128.24206935788763,0.7129644066340659
strict,120,process_only,ridge,test,16,190,0,0,104.87619032725766,348.0791257356478,0.4217556827898984
strict,120,process_only,random_forest,train,45,190,0,0,10.90923652263375,42.28771258503551,0.8810797635090538
strict,120,process_only,random_forest,validation,15,190,0,0,38.90927839506174,145.37726432422673,0.6311347835840514
strict,120,process_only,random_forest,test,16,190,0,0,103.57172267691799,376.11839905683297,0.3248433149784469
strict,120,process_only,gradient_boosting,train,45,190,0,0,11.62676325881538,58.899251889572504,0.7693003512254059
strict,120,process_only,gradient_boosting,validation,15,190,0,0,47.193617709785435,173.4590941602666,0.47486753589848474
strict,120,process_only,gradient_boosting,test,16,190,0,0,104.38851064912919,402.18051073578494,0.22803527261667877
strict,120,severity_plus_process,naive_mean,train,45,191,0,0,66.24000000000001,122.62705882290237,0.0
strict,120,severity_plus_process,naive_mean,validation,15,191,0,0,102.67333333333337,242.581663225672,-0.027047803656155445
strict,120,severity_plus_process,naive_mean,test,16,191,0,0,161.0,467.7869012702258,-0.04436312216977356
strict,120,severity_plus_process,ridge,train,45,191,0,0,22.0592540353786,41.10765656081211,0.8876241951820328
strict,120,severity_plus_process,ridge,validation,15,191,0,0,50.35447929796531,127.9458648079805,0.7142888247614825
strict,120,severity_plus_process,ridge,test,16,191,0,0,104.80735039150623,347.74905288765217,0.4228518258208598
strict,120,severity_plus_process,random_forest,train,45,191,0,0,10.848781716637273,42.34109986443965,0.8807793057576307
strict,120,severity_plus_process,random_forest,validation,15,191,0,0,38.870664550264564,145.41447602966818,0.6309459251603377
strict,120,severity_plus_process,random_forest,test,16,191,0,0,104.2083649966931,376.2793281030672,0.3242654354273259
strict,120,severity_plus_process,gradient_boosting,train,45,191,0,0,11.62676325881538,58.899251889572504,0.7693003512254059
strict,120,severity_plus_process,gradient_boosting,validation,15,191,0,0,49.18729534792781,175.34884580872136,0.46336308712797936
strict,120,severity_plus_process,gradient_boosting,test,16,191,0,0,106.15880294054818,403.8896122358217,0.22146026751615888
strict,300,severity_only,naive_mean,train,3,1,0,138,132.11111111111111,153.16784547968575,0.0
strict,300,severity_only,naive_mean,validation,1,1,0,138,502.1666666666667,502.1666666666667,0.0
strict,300,severity_only,naive_mean,test,2,1,0,138,845.75,1033.168138677233,-0.49230638285098416
