scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGATR,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,LOCAC,5
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SGBTR,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,LOCAC,8
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,MD,0
